ID,X,Y,Z,GripperAngle,GripperRotation,GripperWidth,Easing,Brightness,r,g,b,X1,Y1,Animation
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
5,-124,100,208,17,180,90,200,255,0,255,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,5
7,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8,0,0,0,0,0,0,0,0,0,0,0,0,0,7
9,-300,0,208,17.0,134,90,200,255,0,255,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,8
11,0,0,0,0,0,0,0,0,0,0,0,0,0,9
12,96,100,208,17,46,90,250,255,0,255,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,10
14,0,0,0,0,0,0,0,0,0,0,0,0,0,11
15,0,0,0,0,0,0,0,0,0,0,0,0,0,12
16,-24.0,224.0,316.0,1.0,178,86,200,33,0,255,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,13
18,0,0,0,0,0,0,0,0,0,0,0,0,0,14
19,0,0,0,0,0,0,0,0,0,0,0,0,0,15
20,300,0,208,17.0,134,90,200,255,0,255,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,16
22,0,0,0,0,0,0,0,0,0,0,0,0,0,17
23,0,0,0,0,0,0,0,0,0,0,0,0,0,18
24,0,0,0,0,0,0,0,0,0,0,0,0,0,19
25,0,0,0,0,0,0,0,0,0,0,0,0,0,20
26,0,0,0,0,0,0,0,0,0,0,0,0,0,21
